Year;Parameter;DT;RF;CatBoost;XGBoost;LightGBM;LR
2008;criterion;gini;entropy;;;;
2008;max_depth;5;5;;3.0;3.0;
2008;min_samples_leaf;2;;;;;
2008;min_samples_split;2;;;;;
2008;splitter;best;;;;;
2008;n_estimators;;150;;50.0;100.0;
2008;depth;;;7.0;;;
2008;l2_leaf_reg;;;1.0;;;
2008;iterations;;;50.0;;;
2008;learning_rate;;;0.3;0.3;0.1;
2008;colsample_bytree;;;;1.0;1.0;
2008;min_child_weight;;;;1.0;0.1;
2008;subsample;;;;0.75;0.5;
2008;C;;;;;;0.17055579330190265
2008;solver;;;;;;saga
2009;criterion;entropy;entropy;;;;
2009;max_depth;5;7;;7.0;-1.0;
2009;min_samples_leaf;1;;;;;
2009;min_samples_split;2;;;;;
2009;splitter;best;;;;;
2009;n_estimators;;100;;50.0;100.0;
2009;depth;;;9.0;;;
2009;l2_leaf_reg;;;9.0;;;
2009;iterations;;;100.0;;;
2009;learning_rate;;;0.2;0.3;0.3;
2009;colsample_bytree;;;;0.75;1.0;
2009;min_child_weight;;;;1.0;0.01;
2009;subsample;;;;1.0;0.5;
2009;C;;;;;;0.019658314033761753
2009;solver;;;;;;saga
2010;criterion;gini;entropy;;;;
2010;max_depth;5;7;;3.0;3.0;
2010;min_samples_leaf;3;;;;;
2010;min_samples_split;2;;;;;
2010;splitter;best;;;;;
2010;n_estimators;;50;;50.0;50.0;
2010;depth;;;5.0;;;
2010;l2_leaf_reg;;;3.0;;;
2010;iterations;;;100.0;;;
2010;learning_rate;;;0.3;0.2;0.1;
2010;colsample_bytree;;;;0.75;0.5;
2010;min_child_weight;;;;5.0;10.0;
2010;subsample;;;;0.75;0.5;
2010;C;;;;;;0.05288914835726931
2010;solver;;;;;;liblinear
